date,time,currency,event,impact,actual,forecast,previous
2022-02-07,5:50pm,JPY,Bank Lending y/y,Medium,0.8%,0.6%,
2022-02-07,5:50pm,JPY,Current Account,Medium,1.16T,1.37T,
2022-02-07,6:01pm,GBP,BRC Retail Sales Monitor y/y,Medium,0.7%,0.6%,
2022-02-07,11:00pm,JPY,Economy Watchers Sentiment,Medium,48.1,56.4,
2022-02-08,3:00am,EUR,Italian Retail Sales m/m,Medium,-0.4%,-0.4%,
2022-02-08,4:56am,USD,NFIB Small Business Index,Medium,97.4,98.9,
2022-02-08,7:30am,USD,Trade Balance,Medium,-83.0B,-79.3B,
2022-02-08,8:56am,USD,RCM/TIPP Economic Optimism,Medium,47.2,44.7,
2022-02-08,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2022-02-08,5:50pm,JPY,M2 Money Stock y/y,Medium,3.6%,3.7%,
2022-02-08,11:59pm,JPY,Prelim Machine Tool Orders y/y,Medium,,40.5%,
2022-02-09,3:00am,EUR,Italian Industrial Production m/m,Medium,-0.8%,2.1%,
2022-02-09,4:32am,EUR,German 30-y Bond Auction,Medium,,0.28|1.1,
2022-02-09,7:10am,GBP,MPC Member Pill Speaks,Medium,,,
2022-02-09,9:00am,USD,Final Wholesale Inventories m/m,Medium,2.1%,2.1%,
2022-02-09,9:30am,USD,Crude Oil Inventories,Low,1.5M,-1.0M,
2022-02-09,9:30am,USD,FOMC Member Bowman Speaks,Medium,,,
2022-02-09,11:00am,USD,FOMC Member Mester Speaks,Low,,,
2022-02-09,12:01pm,USD,10-y Bond Auction,Low,,1.72|2.5,
2022-02-09,5:50pm,JPY,PPI y/y,Medium,8.2%,8.7%,
2022-02-09,6:01pm,GBP,RICS House Price Balance,Medium,69%,70%,
